id,position,label,dominantFamily,rawScore,adjustedScore,familyBonus,playerCount,answerBand,overlap,overlapBand,tunability,tunableField,tunableOperator,tunableValue,plannedVariants,nearRescue,rescueRawGap,rescueAdjustedGap,rescueOverlapBlocked,issues,tags
quality_v2_mid_price_6_gi_15,MID,Midfielder who started at £6.0m or less with 15+ goal involvements,anti-meta,68,70,2,55,ideal,0,low,builder-threshold,startingPrice,lte,6,3,true,0,2,false,,quality-pack|quality-pack-v2|checked|anti-meta|midfielder|budget|starting-price|goal-involvements
quality_v3_fwd_manager_david_moyes_p55,FWD,Forward managed by David Moyes who scored 55+ FPL points,manager,63,69,6,17,ideal,0,low,source-threshold,points,,,3,true,3,3,false,,quality-pack|quality-pack-v3|checked|anti-meta|manager|points
