Player,Club,Price,Mins,Starts,A,CS,GC,Y,R,Saves,Bonus,Pts,Mins/Save,Mins/Pts,Pts/Price,ffs_2008_09_category,source_url,outside_pl_2007_08_flag,carrier_player_name,carrier_status,G
Nani,MUN,8.0,1572,17.0,9,,,2.0,1,,5,89,,17.66,11.13,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Nani,CLEAN_POSITIVE_MINUTES,3.0
Fletcher,MUN,5.5,653,5.0,2,,,1.0,0,,0,28,,23.32,5.09,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Fletcher,CLEAN_POSITIVE_MINUTES,0.0
Giggs,MUN,7.5,2234,27.0,5,,,1.0,0,,3,101,,22.12,13.47,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Giggs,CLEAN_POSITIVE_MINUTES,3.0
Anderson,MUN,6.0,1485,17.0,1,,,2.0,0,,3,54,,27.5,9.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Anderson,CLEAN_POSITIVE_MINUTES,0.0
Guthrie,NEW,5.0,1896,23.0,0,,,4.0,0,,7,57,,33.26,11.4,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Guthrie,CLEAN_POSITIVE_MINUTES,0.0
Milner,NEW,6.0,2227,25.0,2,,,3.0,0,,14,84,,26.51,14.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Milner,CLEAN_POSITIVE_MINUTES,2.0
Butt,NEW,5.5,2998,34.0,1,,,12.0,0,,28,110,,27.25,20.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Butt,CLEAN_POSITIVE_MINUTES,3.0
Duff,NEW,6.0,1062,12.0,0,,,3.0,0,,1,27,,39.33,4.5,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Duff,CLEAN_POSITIVE_MINUTES,0.0
Geremi,NEW,6.0,2057,25.0,7,,,3.0,0,,4,101,,20.37,16.83,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Geremi,CLEAN_POSITIVE_MINUTES,2.0
Gutierrez*,NEW,6.0,0,24.0,5,,,4.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,True,Gutierrez,EXCLUDE_ZERO_OR_OUTSIDE_PL,0.0
Smith,NEW,5.0,2396,27.0,3,,,9.0,1,,5,61,,39.28,12.2,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Smith,CLEAN_POSITIVE_MINUTES,0.0
Mvuemba,POR,4.5,316,4.0,0,,,0.0,0,,0,12,,26.33,2.67,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Mvuemba,CLEAN_POSITIVE_MINUTES,0.0
Hughes,POR,4.5,770,8.0,0,,,2.0,0,,0,22,,35.0,4.89,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Hughes,CLEAN_POSITIVE_MINUTES,0.0
Kranjcar,POR,6.5,2854,33.0,4,,,2.0,0,,10,118,,24.19,18.15,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Kranjcar,CLEAN_POSITIVE_MINUTES,4.0
Davis,POR,5.0,1648,19.0,2,,,8.0,0,,0,51,,32.31,10.2,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Davis,CLEAN_POSITIVE_MINUTES,1.0
Mendes,POR,4.5,1221,15.0,4,,,3.0,0,,8,52,,23.48,11.56,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Mendes,CLEAN_POSITIVE_MINUTES,0.0
Diop,POR,5.5,2173,25.0,4,,,7.0,0,,6,77,,28.22,14.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Diop,CLEAN_POSITIVE_MINUTES,0.0
Muntari,POR,6.5,2367,27.0,3,,,4.0,2,,7,97,,24.4,14.92,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Muntari,CLEAN_POSITIVE_MINUTES,4.0
