Player,Team,06/07,Cost
Terry,Chelsea,139,7.5
Carvalho,Chelsea,145,7.0
Agger,Liverpool,131,7.0
Carragher,Liverpool,163,7.0
Riise,Liverpool,89,7.0
Vidic,Man. United,106,7.0
Eboue,Arsenal,84,6.5
Toure,Arsenal,131,6.5
Gallas,Arsenal,83,6.5
Cole A,Chelsea,79,6.5
Arbeloa,Liverpool,37,6.5
Finnan,Liverpool,143,6.5
Aurelio,Liverpool,54,6.5
Evra,Man. United,111,6.5
Ferdinand,Man. United,126,6.5
Clichy,Arsenal,80,6.0
Sagna,Arsenal,0,6.0
Ferreira,Chelsea,73,6.0
Bridge,Chelsea,95,6.0
Johnson,Chelsea,92,6.0
Ben Haim,Chelsea,84,6.0
Lescott,Everton,164,6.0
Hyypia,Liverpool,106,6.0
Neville,Man. United,100,6.0
Chimbonda,Tottenham,90,6.0
Bale,Tottenham,0,6.0
Senderos,Arsenal,25,5.5
Samba,Blackburn,41,5.5
Warnock,Blackburn,36,5.5
Emerton,Blackburn,82,5.5
Yobo,Everton,139,5.5
Neville,Everton,108,5.5
Jagielka,Everton,121,5.5
Paletta,Liverpool,4,5.5
Dunne,Man. City,151,5.5
Corluka,Man. City,0,5.5
Heinze,Man. United,49,5.5
Silvestre,Man. United,35,5.5
Brown,Man. United,61,5.5
Woodgate,Middlesbrough,113,5.5
Pogatetz,Middlesbrough,115,5.5
Geremi,Newcastle,51,5.5
Campbell,Portsmouth,136,5.5
Distin,Portsmouth,145,5.5
Dawson,Tottenham,100,5.5
King,Tottenham,61,5.5
Hoyte,Arsenal,70,5.0
Mellberg,Aston Villa,129,5.0
Djourou,Birmingham,66,5.0
Queudrue,Birmingham,80,5.0
Ooijer,Blackburn,46,5.0
Khizanishvili,Blackburn,39,5.0
Nelsen,Blackburn,24,5.0
Hunt,Bolton,91,5.0
Gardner,Bolton,23,5.0
Meite,Bolton,101,5.0
Faye,Bolton,82,5.0
Stubbs,Everton,90,5.0
Bocanegra,Fulham,99,5.0
Insua,Liverpool,3,5.0
Richards,Man. City,94,5.0
Huth,Middlesbrough,22,5.0
Young,Middlesbrough,84,5.0
Cacapa,Newcastle,0,5.0
Jose Enrique,Newcastle,0,5.0
Babayaro,Newcastle,23,5.0
Carr,Newcastle,56,5.0
Taylor,Newcastle,93,5.0
Rozehnal,Newcastle,0,5.0
Lauren,Portsmouth,28,5.0
Primus,Portsmouth,134,5.0
Hreidarsson,Portsmouth,79,5.0
Shorey,Reading,145,5.0
Rocha,Tottenham,17,5.0
Lee,Tottenham,44,5.0
Kaboul,Tottenham,0,5.0
Neill,West Ham,96,5.0
Bouma,Aston Villa,85,4.5
Cahill,Aston Villa,51,4.5
Delaney,Aston Villa,0,4.5
Laursen,Aston Villa,53,4.5
Ridgewell,Birmingham,69,4.5
Jaidi,Birmingham,0,4.5
Berner,Blackburn,2,4.5
Michalik,Bolton,9,4.5
