Player,Club,Price,Mins,Starts,A,CS,GC,Y,R,Saves,Bonus,Pts,Mins/Save,Mins/Pts,Pts/Price,ffs_2008_09_category,source_url,outside_pl_2007_08_flag,carrier_player_name,carrier_status,G,name_norm,launch_match_status,launch_match_method,launch_position,launch_player,launch_team,points_2006_07,start_price_m,launch_source_url,expected_later_addition
Vogel,BLA,4.5,462,6.0,0,,,0.0,0,,0,14,,33.0,3.11,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Vogel,CLEAN_POSITIVE_MINUTES,0.0,vogel,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Cohen,BOL,4.5,301,3.0,0,,,1.0,0,,0,15,,20.07,3.33,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Cohen,CLEAN_POSITIVE_MINUTES,1.0,cohen,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
O’Brien J,BOL,4.5,1320,16.0,1,,,2.0,0,,0,35,,37.71,7.78,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,O’Brien J,CLEAN_POSITIVE_MINUTES,0.0,obrienj,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Andreasen,FUL,4.5,788,9.0,0,,,2.0,1,,0,18,,43.78,4.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Andreasen,CLEAN_POSITIVE_MINUTES,0.0,andreasen,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Lucas,LIV,6.5,1110,12.0,5,,,0.0,0,,2,55,,20.18,8.46,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Lucas,CLEAN_POSITIVE_MINUTES,0.0,lucas,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Plessis,LIV,5.0,180,1.0,0,,,0.0,0,,0,4,,45.0,0.8,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Plessis,CLEAN_POSITIVE_MINUTES,0.0,plessis,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Castillo,MCY,7.0,296,3.0,0,,,0.0,0,,0,9,,32.89,1.29,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Castillo,CLEAN_POSITIVE_MINUTES,0.0,castillo,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Shawky,MID,4.5,252,3.0,0,,,1.0,0,,0,7,,36.0,1.56,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Shawky,CLEAN_POSITIVE_MINUTES,0.0,shawky,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Boateng,HUL,5.0,2607,30.0,3,,,9.0,0,,13,86,,30.31,17.2,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Boateng,CLEAN_POSITIVE_MINUTES,1.0,boateng,AMBIGUOUS,EXACT_DISPLAY_NAME+MULTIPLE_REMAIN,,Boateng | Boateng,Tottenham | Middlesbrough,,,,False
O’Donovan,SUN,4.5,459,4.0,0,,,2.0,0,,0,16,,28.69,3.56,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,O’Donovan,CLEAN_POSITIVE_MINUTES,0.0,odonovan,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
O’Hara,TOT,5.0,897,10.0,0,,,3.0,0,,0,25,,35.88,5.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,O’Hara,CLEAN_POSITIVE_MINUTES,1.0,ohara,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Palacios,WIG,5.5,1730,20.0,1,,,6.0,1,,3,49,,35.31,8.91,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Palacios,CLEAN_POSITIVE_MINUTES,0.0,palacios,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Schevchenko,CHE,8.0,745,9.0,1,,,0.0,0,,8,54,,13.8,6.75,FWD,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-forwards,False,Schevchenko,CLEAN_POSITIVE_MINUTES,5.0,schevchenko,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Pizzaro,CHE,7.0,693,8.0,1,,,1.0,0,,1,36,,19.25,5.14,FWD,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-forwards,False,Pizzaro,CLEAN_POSITIVE_MINUTES,2.0,pizzaro,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Neveland,FUL,5.0,219,2.0,0,,,1.0,0,,0,17,,12.88,3.4,FWD,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-forwards,False,Neveland,CLEAN_POSITIVE_MINUTES,2.0,neveland,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Caicedo,MCY,5.5,222,0.0,0,,,1.0,0,,0,9,,24.67,1.64,FWD,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-forwards,False,Caicedo,CLEAN_POSITIVE_MINUTES,0.0,caicedo,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Alves,MID,7.5,651,7.0,2,,,0.0,0,,6,54,,12.06,7.2,FWD,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-forwards,False,Alves,CLEAN_POSITIVE_MINUTES,6.0,alves,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Prica,SUN,5.0,210,3.0,0,,,1.0,0,,2,12,,17.5,2.4,FWD,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-forwards,False,Prica,CLEAN_POSITIVE_MINUTES,1.0,prica,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Jones,SUN,7.0,2818,33.0,10,,,2.0,0,,18,138,,20.42,19.71,FWD,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-forwards,False,Jones,CLEAN_POSITIVE_MINUTES,7.0,jones,AMBIGUOUS,EXACT_DISPLAY_NAME+MULTIPLE_REMAIN,,Jones | Jones,Middlesbrough | Derby,,,,False
Waghorn,SUN,5.0,107,1.0,0,,,0.0,0,,0,4,,26.75,0.8,FWD,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-forwards,False,Waghorn,CLEAN_POSITIVE_MINUTES,0.0,waghorn,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Bent,TOT,7.5,1148,11.0,5,,,0.0,0,,6,80,,14.35,10.67,FWD,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-forwards,False,Bent,CLEAN_POSITIVE_MINUTES,6.0,bent,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
Sears,WHM,5.0,215,1.0,0,,,0.0,0,,0,12,,17.92,2.4,FWD,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-forwards,False,Sears,CLEAN_POSITIVE_MINUTES,1.0,sears,UNMATCHED,NO_LAUNCH_ROW,,,,,,,False
