Player,Team,06/07,Cost
Davies,Fulham,94,5.5
Davis,Fulham,53,5.5
Sissoko,Liverpool,28,5.5
Boateng,Middlesbrough,85,5.5
Cattermole,Middlesbrough,57,5.5
Rochemback,Middlesbrough,61,5.5
Davis,Portsmouth,78,5.5
Mendes,Portsmouth,87,5.5
Harper,Reading,109,5.5
Seol,Reading,83,5.5
Richardson,Sunderland,30,5.5
Murphy,Tottenham,31,5.5
Tainio,Tottenham,52,5.5
Ghaly,Tottenham,51,5.5
Routledge,Tottenham,45,5.5
Bowyer,West Ham,54,5.5
Sibierski,Wigan,62,5.5
Gardner,Aston Villa,35,5.0
Kapo,Birmingham,0,5.0
Andranik,Bolton,42,5.0
McCann,Bolton,74,5.0
Dzemaili,Bolton,0,5.0
Jones,Derby,0,5.0
Van Der Meyde,Everton,13,5.0
Pienaar,Everton,0,5.0
Diop,Fulham,48,5.0
Cook,Fulham,0,5.0
Gelson,Man. City,0,5.0
Ireland,Man. City,52,5.0
Dabo,Man. City,19,5.0
Miller,Man. City,18,5.0
Eagles,Man. United,11,5.0
N'Zogbia,Newcastle,40,5.0
Butt,Newcastle,71,5.0
Mvuemba,Portsmouth,15,5.0
Gunnarsson,Reading,50,5.0
Little,Reading,68,5.0
Convey,Reading,28,5.0
Fae,Reading,0,5.0
Whitehead,Sunderland,0,5.0
Edwards,Sunderland,0,5.0
Huddlestone,Tottenham,64,5.0
Kilbane,Wigan,90,5.0
Landzaat,Wigan,80,5.0
Valencia,Wigan,48,5.0
Osbourne,Aston Villa,28,4.5
Larsson,Birmingham,0,4.5
De Ridder,Birmingham,0,4.5
Mokoena,Blackburn,40,4.5
Peter,Blackburn,8,4.5
Tal,Bolton,32,4.5
Guthrie,Bolton,3,4.5
Alonso,Bolton,0,4.5
Oakley,Derby,0,4.5
De Silva,Everton,1,4.5
Dempsey,Fulham,16,4.5
Johnson,Man. City,40,4.5
Hamann,Man. City,29,4.5
Mendieta,Middlesbrough,9,4.5
Euell,Middlesbrough,33,4.5
Hughes,Portsmouth,33,4.5
Oster,Reading,47,4.5
Hysen,Sunderland,0,4.5
Leadbitter,Sunderland,0,4.5
Yorke,Sunderland,0,4.5
Etuhu,Sunderland,0,4.5
Taarabt,Tottenham,2,4.5
Mullins,West Ham,66,4.5
Noble,West Ham,37,4.5
Brown,Wigan,77,4.5
Skoko,Wigan,65,4.5
Nafti,Birmingham,0,4.0
Danns,Birmingham,0,4.0
Johnson,Birmingham,0,4.0
Muamba,Birmingham,0,4.0
O'Brien,Bolton,0,4.0
Malcolm,Derby,0,4.0
Pearson,Derby,0,4.0
Teale,Derby,18,4.0
Smertin,Fulham,16,4.0
Elliott,Fulham,0,4.0
Elrich,Fulham,0,4.0
Johnson,Middlesbrough,17,4.0
Pattison,Newcastle,9,4.0
Cisse,Reading,0,4.0
Wallace,Sunderland,0,4.0
Kavanagh,Sunderland,2,4.0
Miller,Sunderland,0,4.0
Quashie,West Ham,12,4.0
