launch_position,launch_player,launch_team,points_2006_07,start_price_m,launch_source_url
DEF,Carvalho,Chelsea,145,7.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Agger,Liverpool,131,7.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Carragher,Liverpool,163,7.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Riise,Liverpool,89,7.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Vidic,Man. United,106,7.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Eboue,Arsenal,84,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Toure,Arsenal,131,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Gallas,Arsenal,83,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Cole A,Chelsea,79,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Arbeloa,Liverpool,37,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Finnan,Liverpool,143,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Aurelio,Liverpool,54,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Evra,Man. United,111,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Ferdinand,Man. United,126,6.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Clichy,Arsenal,80,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Sagna,Arsenal,0,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Ferreira,Chelsea,73,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Bridge,Chelsea,95,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Johnson,Chelsea,92,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Ben Haim,Chelsea,84,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Lescott,Everton,164,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Hyypia,Liverpool,106,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Neville,Man. United,100,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Chimbonda,Tottenham,90,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Bale,Tottenham,0,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Senderos,Arsenal,25,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Samba,Blackburn,41,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Warnock,Blackburn,36,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Emerton,Blackburn,82,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Yobo,Everton,139,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Neville,Everton,108,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Jagielka,Everton,121,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Paletta,Liverpool,4,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Dunne,Man. City,151,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Corluka,Man. City,0,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Heinze,Man. United,49,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Silvestre,Man. United,35,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Brown,Man. United,61,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Woodgate,Middlesbrough,113,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Pogatetz,Middlesbrough,115,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Geremi,Newcastle,51,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Campbell,Portsmouth,136,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Distin,Portsmouth,145,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Dawson,Tottenham,100,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,King,Tottenham,61,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
