Player,Team,06/07,Cost
Drogba,Chelsea,170,12.0
Rooney,Man. United,184,12.0
Torres,Liverpool,0,10.0
Shevchenko,Chelsea,85,9.5
Kuyt,Liverpool,140,9.5
Owen,Newcastle,6,9.5
Berbatov,Tottenham,169,9.5
Bent D,Tottenham,137,9.5
Van Persie,Arsenal,108,9.0
Eduardo,Arsenal,0,9.0
McCarthy,Blackburn,151,9.0
Saha,Man. United,97,9.0
Martins,Newcastle,140,9.0
Keane,Tottenham,104,9.0
Anelka,Bolton,153,8.5
Johnson,Everton,139,8.5
Crouch,Liverpool,111,8.5
Tevez,Man. United,91,8.5
Adebayor,Arsenal,110,8.0
Carew,Aston Villa,48,8.0
Kalou,Chelsea,98,8.0
Pizarro,Chelsea,0,8.0
Voronin,Liverpool,0,8.0
Yakubu,Middlesbrough,136,8.0
Viduka,Newcastle,139,8.0
Defoe,Tottenham,109,8.0
Bellamy,West Ham,90,8.0
Walcott,Arsenal,36,7.5
Agbonlahor,Aston Villa,144,7.5
Bianchi,Man. City,0,7.5
Tuncay,Middlesbrough,0,7.5
Doyle,Reading,127,7.5
Young,Aston Villa,134,7.0
Roberts,Blackburn,46,7.0
Santa Cruz,Blackburn,0,7.0
Diouf,Bolton,103,7.0
McBride,Fulham,128,7.0
Vassell,Man. City,74,7.0
Bojinov,Man. City,0,7.0
Smith,Newcastle,19,7.0
Ameobi,Newcastle,34,7.0
Nugent,Portsmouth,0,7.0
Mido,Tottenham,18,7.0
Ashton,West Ham,0,7.0
Rigters,Blackburn,0,6.5
Davies,Bolton,99,6.5
Sinclair,Chelsea,2,6.5
Sahar,Chelsea,3,6.5
Vaughan,Everton,36,6.5
Kamara,Fulham,0,6.5
Mpenza,Man. City,37,6.5
