Player,Team,06/07,Cost
Cech,Chelsea,98,6.5
Reina,Liverpool,150,6.5
Van der Sar,Man. United,130,6.0
Lehmann,Arsenal,117,5.5
Carson,Aston Villa,139,5.5
Friedel,Blackburn,162,5.5
Cudicini,Chelsea,40,5.5
Almunia,Arsenal,6,5.0
Fabianski,Arsenal,0,5.0
Jaaskelainen,Bolton,146,5.0
Hilario,Chelsea,40,5.0
Howard,Everton,164,5.0
Foster,Man. United,109,5.0
Given,Newcastle,64,5.0
James,Portsmouth,173,5.0
Robinson,Tottenham,117,5.0
Sorensen,Aston Villa,119,4.5
Brown,Blackburn,7,4.5
Walker,Bolton,0,4.5
Isaksson,Man. City,47,4.5
Kuszczak,Man. United,35,4.5
Schwarzer,Middlesbrough,115,4.5
Harper,Newcastle,56,4.5
Hahnemann,Reading,151,4.5
Alnwick,Tottenham,0,4.5
Green,West Ham,99,4.5
