Player,Team,06/07,Cost
Samaras,Man. City,86,6.5
Solskjaer,Man. United,65,6.5
Aliadiere,Middlesbrough,14,6.5
Utaka,Portsmouth,0,6.5
Kanu,Portsmouth,118,6.5
Lita,Reading,100,6.5
Heskey,Wigan,107,6.5
Bendtner,Arsenal,0,6.0
Derbyshire,Blackburn,53,6.0
Helguson,Bolton,61,6.0
McFadden,Everton,43,6.0
Anichebe,Everton,38,6.0
Bouazza,Fulham,98,6.0
Healy,Fulham,0,6.0
Corradi,Man. City,61,6.0
Luque,Newcastle,6,6.0
Lua-Lua,Portsmouth,40,6.0
Benjani,Portsmouth,91,6.0
Kitson,Reading,32,6.0
Zamora,West Ham,118,6.0
Camara,Wigan,68,6.0
Moore,Aston Villa,42,5.5
Harewood,Aston Villa,59,5.5
Jerome,Birmingham,0,5.5
O'Connor,Birmingham,0,5.5
Vaz Te,Bolton,27,5.5
Howard,Derby,0,5.5
Earnshaw,Derby,0,5.5
John,Fulham,35,5.5
Dickov,Man. City,25,5.5
Dong,Man. United,2,5.5
Lee Dong-Gook,Middlesbrough,11,5.5
Long,Reading,39,5.5
Murphy,Sunderland,0,5.5
Connolly,Sunderland,3,5.5
Chopra,Sunderland,0,5.5
Folan,Wigan,29,5.5
Aghahowa,Wigan,9,5.5
Forssell,Birmingham,0,5.0
Vine,Birmingham,0,5.0
Gallagher,Blackburn,22,5.0
Harsanyi,Bolton,0,5.0
Fagan,Derby,0,5.0
Macken,Derby,0,5.0
Runstrom,Fulham,1,5.0
Sturridge,Man. City,2,5.0
Craddock,Middlesbrough,0,5.0
John,Sunderland,0,5.0
Stokes,Sunderland,0,5.0
Cole,West Ham,30,5.0
Cotterill,Wigan,23,5.0
