canonical_playerId,canonical_name,canonical_minutes,morph_name,slot_id,match_method,clubs,rows,weeks,minutes_sum,minutes_delta,assists_sum,goals_sum,bonus_sum,points_sum,clean_sheets_sum,yellow_sum,fixtures
55658,Marcos Angeleri,5,Marcos Angeleri,382,EXACT,Sunderland,37,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,0,-5,0,0,0,0,0,0,GW1:ARS(A) 0-0:18 Aug 15:00 | GW3:SWA(A) 2-2:01 Sep 15:00 | GW4:LIV(H) 1-1:15 Sep 17:30 | GW5:WHU(A) 1-1:22 Sep 15:00 | GW6:WIG(H) 1-0:29 Sep 15:00 | GW7:MCI(A) 0-3:06 Oct 12:45 | GW8:NEW(H) 1-1:21 Oct 13:30 | GW9:STK(A) 0-0:27 Oct 15:00 | GW10:AVL(H) 0-1:03 Nov 15:00 | GW11:EVE(A) 1-2:10 Nov 15:00 | GW12:FUL(A) 3-1:18 Nov 16:00 | GW13:WBA(H) 2-4:24 Nov 12:45 | GW14:QPR(H) 0-0:27 Nov 19:45 | GW15:NOR(A) 1-2:02 Dec 16:00 | GW16:RDG(H) 3-0:11 Dec 19:45 | GW17:MUN(A) 1-3:15 Dec 15:00 | GW18:SOU(A) 1-0:22 Dec 15:00 | GW19:MCI(H) 1-0:26 Dec 15:00 | GW20:TOT(H) 1-2:29 Dec 12:45 | GW21:LIV(A) 0-3:02 Jan 19:45 | GW22:WHU(H) 3-0:12 Jan 15:00 | GW23:WIG(A) 3-2:19 Jan 15:00 | GW24:SWA(H) 0-0:29 Jan 19:45 | GW25:RDG(A) 1-2:02 Feb 15:00 | GW26:ARS(H) 0-1:09 Feb 15:00 | GW27:WBA(A) 1-2:23 Feb 15:00 | GW28:FUL(H) 2-2:02 Mar 15:00 | GW29:QPR(A) 1-3:09 Mar 15:00 | GW30:NOR(H) 1-1:17 Mar 13:30 | GW31:MUN(H) 0-1:30 Mar 12:45 | GW32:CHE(A) 1-2:07 Apr 15:00 | GW33:NEW(A) 3-0:14 Apr 12:00 | GW34:EVE(H) 1-0:20 Apr 15:00 | GW35:AVL(A) 1-6:29 Apr 20:00 | GW36:STK(H) 1-1:06 May 20:00 | GW37:SOU(H) 1-1:12 May 15:00 | GW38:TOT(A) 0-1:19 May 16:00
80179,Adam Forshaw,7,Adam Forshaw,101,EXACT,Everton,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,0,-7,0,0,0,0,0,0,GW1:MUN(H) 1-0:20 Aug 20:00 | GW2:AVL(A) 3-1:25 Aug 15:00 | GW3:WBA(A) 0-2:01 Sep 15:00 | GW4:NEW(H) 2-2:17 Sep 20:00 | GW5:SWA(A) 3-0:22 Sep 12:45 | GW6:SOU(H) 3-1:29 Sep 15:00 | GW7:WIG(A) 2-2:06 Oct 15:00 | GW8:QPR(A) 1-1:21 Oct 16:00 | GW9:LIV(H) 2-2:28 Oct 13:30 | GW10:FUL(A) 2-2:03 Nov 15:00 | GW11:SUN(H) 2-1:10 Nov 15:00 | GW12:RDG(A) 1-2:17 Nov 15:00 | GW13:NOR(H) 1-1:24 Nov 15:00 | GW14:ARS(H) 1-1:28 Nov 19:45 | GW15:MCI(A) 1-1:01 Dec 15:00 | GW16:TOT(H) 2-1:09 Dec 15:00 | GW17:STK(A) 1-1:15 Dec 15:00 | GW18:WHU(A) 2-1:22 Dec 15:00 | GW19:WIG(H) 2-1:26 Dec 15:00 | GW20:CHE(H) 1-2:30 Dec 13:30 | GW21:NEW(A) 2-1:02 Jan 20:00 | GW22:SWA(H) 0-0:12 Jan 15:00 | GW23:SOU(A) 0-0:21 Jan 20:00 | GW24:WBA(H) 2-1:30 Jan 19:45 | GW25:AVL(H) 3-3:02 Feb 15:00 | GW26:MUN(A) 0-2:10 Feb 16:00 | GW27:NOR(A) 1-2:23 Feb 15:00 | GW28:RDG(H) 3-1:02 Mar 15:00 | GW30:MCI(H) 2-0:16 Mar 12:45 | GW31:STK(H) 1-0:30 Mar 17:30 | GW32:TOT(A) 2-2:07 Apr 14:05 | GW33:ARS(A) 0-0:16 Apr 19:45 | GW34:SUN(A) 0-1:20 Apr 15:00 | GW35:FUL(H) 1-0:27 Apr 15:00 | GW36:LIV(A) 0-0:05 May 13:30 | GW37:WHU(H) 2-0:12 May 15:00 | GW38:CHE(A) 1-2:19 May 16:00
80179,Adam Forshaw,7,Adam Forshaw,120,EXACT,Everton,1,29,0,-7,0,0,0,0,0,0,GW29:ARS(H) 0-1:21 March 20:00
14075,Patrice Evra,2961,Patrice Evra,203,EXACT,Man Utd,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,2970,9,6,4,16,146,9,3,GW1:EVE(A) 0-1:20 Aug 20:00 | GW2:FUL(H) 3-2:25 Aug 15:00 | GW3:SOU(A) 3-2:02 Sep 16:00 | GW4:WIG(H) 4-0:15 Sep 15:00 | GW5:LIV(A) 2-1:23 Sep 13:30 | GW6:TOT(H) 2-3:29 Sep 17:30 | GW7:NEW(A) 3-0:07 Oct 16:00 | GW8:STK(H) 4-2:20 Oct 15:00 | GW9:CHE(A) 3-2:28 Oct 16:00 | GW10:ARS(H) 2-1:03 Nov 12:45 | GW11:AVL(A) 3-2:10 Nov 17:30 | GW12:NOR(A) 0-1:17 Nov 17:30 | GW13:QPR(H) 3-1:24 Nov 15:00 | GW14:WHU(H) 1-0:28 Nov 20:00 | GW15:RDG(A) 4-3:01 Dec 17:30 | GW16:MCI(A) 3-2:09 Dec 13:30 | GW17:SUN(H) 3-1:15 Dec 15:00 | GW18:SWA(A) 1-1:23 Dec 13:30 | GW19:NEW(H) 4-3:26 Dec 15:00 | GW20:WBA(H) 2-0:29 Dec 15:00 | GW21:WIG(A) 4-0:01 Jan 15:00 | GW22:LIV(H) 2-1:13 Jan 13:30 | GW23:TOT(A) 1-1:20 Jan 16:00 | GW24:SOU(H) 2-1:30 Jan 20:00 | GW25:FUL(A) 1-0:02 Feb 17:30 | GW26:EVE(H) 2-0:10 Feb 16:00 | GW27:QPR(A) 2-0:23 Feb 15:00 | GW28:NOR(H) 4-0:02 Mar 15:00 | GW30:RDG(H) 1-0:16 Mar 17:30 | GW31:SUN(A) 1-0:30 Mar 12:45 | GW32:MCI(H) 1-2:08 Apr 20:00 | GW33:WHU(A) 2-2:17 Apr 19:45 | GW34:AVL(H) 3-0:22 Apr 20:00 | GW35:ARS(A) 1-1:28 Apr 16:00 | GW36:CHE(H) 0-1:05 May 16:00 | GW37:SWA(H) 2-1:12 May 16:00 | GW38:WBA(A) 5-5:19 May 16:00
59948,Nathan Eccleston,9,Nathan Eccleston,170,EXACT,Liverpool,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 33 34 35 36 37 38,0,-9,0,0,0,0,0,0,GW1:WBA(A) 0-3:18 Aug 15:00 | GW2:MCI(H) 2-2:26 Aug 16:00 | GW3:ARS(H) 0-2:02 Sep 13:30 | GW4:SUN(A) 1-1:15 Sep 17:30 | GW5:MUN(H) 1-2:23 Sep 13:30 | GW6:NOR(A) 5-2:29 Sep 15:00 | GW7:STK(H) 0-0:07 Oct 15:00 | GW8:RDG(H) 1-0:20 Oct 15:00 | GW9:EVE(A) 2-2:28 Oct 13:30 | GW10:NEW(H) 1-1:04 Nov 16:00 | GW11:CHE(A) 1-1:11 Nov 16:00 | GW12:WIG(H) 3-0:17 Nov 15:00 | GW13:SWA(A) 0-0:25 Nov 13:30 | GW14:TOT(A) 1-2:28 Nov 19:45 | GW15:SOU(H) 1-0:01 Dec 15:00 | GW16:WHU(A) 3-2:09 Dec 16:00 | GW17:AVL(H) 1-3:15 Dec 15:00 | GW18:FUL(H) 4-0:22 Dec 17:30 | GW19:STK(A) 1-3:26 Dec 19:45 | GW20:QPR(A) 3-0:30 Dec 16:00 | GW21:SUN(H) 3-0:02 Jan 19:45 | GW22:MUN(A) 1-2:13 Jan 13:30 | GW23:NOR(H) 5-0:19 Jan 15:00 | GW24:ARS(A) 2-2:30 Jan 19:45 | GW25:MCI(A) 2-2:03 Feb 16:00 | GW26:SWA(H) 5-0:17 Feb 15:00 | GW28:WIG(A) 4-0:02 Mar 17:30 | GW29:TOT(H) 3-2:10 Mar 16:00 | GW30:SOU(A) 1-3:16 Mar 15:00 | GW31:AVL(A) 2-1:31 Mar 13:30 | GW32:WHU(H) 0-0:07 Apr 13:30 | GW33:RDG(A) 0-0:13 Apr 15:00 | GW34:CHE(H) 2-2:21 Apr 16:00 | GW35:NEW(A) 6-0:27 Apr 17:30 | GW36:EVE(H) 0-0:05 May 13:30 | GW37:FUL(A) 3-1:12 May 15:00 | GW38:QPR(H) 1-0:19 May 16:00
52477,Nathan Baker,249,Nathan Baker,35,EXACT,Aston Villa,12,1 2 3 4 5 6 7 8 9 10 20 30,260,11,0,0,0,10,1,0,GW1:WHU(A) 0-1:18 Aug 15:00 | GW2:EVE(H) 1-3:25 Aug 15:00 | GW3:NEW(A) 1-1:02 Sep 16:00 | GW4:SWA(H) 2-0:15 Sep 15:00 | GW5:SOU(A) 1-4:22 Sep 15:00 | GW6:WBA(H) 1-1:30 Sep 16:00 | GW7:TOT(A) 0-2:07 Oct 15:00 | GW8:FUL(A) 0-1:20 Oct 15:00 | GW9:NOR(H) 1-1:27 Oct 12:45 | GW10:SUN(A) 1-0:03 Nov 15:00 | GW20:WIG(H) 0-3:29 Dec 15:00 | GW30:QPR(H) 3-2:16 Mar 15:00
54662,Geoffrey Mujangi Bia,11,Geoffrey Mujangi Bia,465,EXACT,Wolves,1,33,0,-11,0,0,0,0,0,0,GW33:ARS(H) 0-3:11 April 19:45
18430,Zoltán Gera,1108,Zoltan Gera,480,EXACT,West Brom,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38,1120,12,1,4,7,64,5,1,GW1:LIV(H) 3-0:18 Aug 15:00 | GW2:TOT(A) 1-1:25 Aug 15:00 | GW3:EVE(H) 2-0:01 Sep 15:00 | GW4:FUL(A) 0-3:15 Sep 15:00 | GW5:RDG(H) 1-0:22 Sep 15:00 | GW6:AVL(A) 1-1:30 Sep 16:00 | GW7:QPR(H) 3-2:06 Oct 15:00 | GW8:MCI(H) 1-2:20 Oct 15:00 | GW9:NEW(A) 1-2:28 Oct 15:00 | GW10:SOU(H) 2-0:05 Nov 20:00 | GW11:WIG(A) 2-1:10 Nov 15:00 | GW12:CHE(H) 2-1:17 Nov 15:00 | GW13:SUN(A) 4-2:24 Nov 12:45 | GW14:SWA(A) 1-3:28 Nov 19:45 | GW15:STK(H) 0-1:01 Dec 15:00 | GW16:ARS(A) 0-2:08 Dec 15:00 | GW17:WHU(H) 0-0:16 Dec 16:00 | GW18:NOR(H) 2-1:22 Dec 15:00 | GW19:QPR(A) 2-1:26 Dec 15:00 | GW20:MUN(A) 0-2:29 Dec 15:00 | GW21:FUL(H) 1-2:01 Jan 12:45 | GW22:RDG(A) 2-3:12 Jan 15:00 | GW23:AVL(H) 2-2:19 Jan 17:30 | GW24:EVE(A) 1-2:30 Jan 19:45 | GW25:TOT(H) 0-1:03 Feb 13:30 | GW26:LIV(A) 2-0:11 Feb 20:00 | GW27:SUN(H) 2-1:23 Feb 15:00 | GW28:CHE(A) 0-1:02 Mar 15:00 | GW29:SWA(H) 2-1:09 Mar 15:00 | GW30:STK(A) 0-0:16 Mar 15:00 | GW31:WHU(A) 1-3:30 Mar 15:00 | GW32:ARS(H) 1-2:06 Apr 15:00 | GW34:NEW(H) 1-1:20 Apr 15:00 | GW35:SOU(A) 3-0:27 Apr 15:00 | GW36:MCI(A) 0-1:07 May 19:45 | GW37:NOR(A) 0-4:12 May 15:00 | GW38:MUN(H) 5-5:19 May 16:00
55586,Jose Baxter,12,Jose Baxter,112,EXACT,Everton,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,0,-12,0,0,0,0,0,0,GW1:MUN(H) 1-0:20 Aug 20:00 | GW2:AVL(A) 3-1:25 Aug 15:00 | GW3:WBA(A) 0-2:01 Sep 15:00 | GW4:NEW(H) 2-2:17 Sep 20:00 | GW5:SWA(A) 3-0:22 Sep 12:45 | GW6:SOU(H) 3-1:29 Sep 15:00 | GW7:WIG(A) 2-2:06 Oct 15:00 | GW8:QPR(A) 1-1:21 Oct 16:00 | GW9:LIV(H) 2-2:28 Oct 13:30 | GW10:FUL(A) 2-2:03 Nov 15:00 | GW11:SUN(H) 2-1:10 Nov 15:00 | GW12:RDG(A) 1-2:17 Nov 15:00 | GW13:NOR(H) 1-1:24 Nov 15:00 | GW14:ARS(H) 1-1:28 Nov 19:45 | GW15:MCI(A) 1-1:01 Dec 15:00 | GW16:TOT(H) 2-1:09 Dec 15:00 | GW17:STK(A) 1-1:15 Dec 15:00 | GW18:WHU(A) 2-1:22 Dec 15:00 | GW19:WIG(H) 2-1:26 Dec 15:00 | GW20:CHE(H) 1-2:30 Dec 13:30 | GW21:NEW(A) 2-1:02 Jan 20:00 | GW22:SWA(H) 0-0:12 Jan 15:00 | GW23:SOU(A) 0-0:21 Jan 20:00 | GW24:WBA(H) 2-1:30 Jan 19:45 | GW25:AVL(H) 3-3:02 Feb 15:00 | GW26:MUN(A) 0-2:10 Feb 16:00 | GW27:NOR(A) 1-2:23 Feb 15:00 | GW28:RDG(H) 3-1:02 Mar 15:00 | GW30:MCI(H) 2-0:16 Mar 12:45 | GW31:STK(H) 1-0:30 Mar 17:30 | GW32:TOT(A) 2-2:07 Apr 14:05 | GW33:ARS(A) 0-0:16 Apr 19:45 | GW34:SUN(A) 0-1:20 Apr 15:00 | GW35:FUL(H) 1-0:27 Apr 15:00 | GW36:LIV(A) 0-0:05 May 13:30 | GW37:WHU(H) 2-0:12 May 15:00 | GW38:CHE(A) 1-2:19 May 16:00
55586,Jose Baxter,12,Jose Baxter,132,EXACT,Everton,1,33,0,-12,0,0,0,0,0,0,GW33:SUN(H) 4-0:09 April 15:00
