archive_id,official_name,fpl_minutes,fpl_points,canonical_playerId,canonical_name,raw_minutes,method,score
542,David Hoilett,1494,71,49806,Junior Hoilett,1497.0,MANUAL_ALIAS,0.98
548,Michael Kightly,162,4,15944,Michael Kightly,160.0,EXACT_NORMALIZED,1.0
554,Louis Saha,1366,70,4396,Louis Saha,1372.0,EXACT_NORMALIZED,1.0
558,Jose Bosingwa,1263,52,11278,José Bosingwa,1261.0,EXACT_NORMALIZED,1.0
570,Sebastien Bassong,828,35,42744,Sebastien Bassong,823.0,EXACT_NORMALIZED,1.0
572,Matthew Jarvis,3050,133,18818,Matthew Jarvis,3054.0,EXACT_NORMALIZED,1.0
573,Steven Fletcher,1395,97,18953,Steven Fletcher,1395.0,EXACT_NORMALIZED,1.0
597,Steven Nzonzi,1274,43,49323,Steven Nzonzi,1268.0,EXACT_NORMALIZED,1.0
601,Michael Owen,238,18,1795,Michael Owen,228.0,EXACT_NORMALIZED,1.0
609,Mark Bunn,225,5,10954,Mark Bunn,225.0,EXACT_NORMALIZED,1.0
617,Jordan Spence,180,2,51933,Jordan Spence,180.0,EXACT_NORMALIZED,1.0
619,Thomas Hitzlsperger,990,48,8402,Thomas Hitzlsperger,990.0,EXACT_NORMALIZED,1.0
623,James McFadden,276,10,4445,James McFadden,280.0,EXACT_NORMALIZED,1.0
628,Nile Ranger,588,27,56239,Nile Ranger,562.0,EXACT_NORMALIZED,1.0
677,Christopher Samba,2879,111,20359,Christopher Samba,2880.0,EXACT_NORMALIZED,1.0
681,Paul Scharner,2740,86,16210,Paul Scharner,2750.0,EXACT_NORMALIZED,1.0
