element_code,name,minutes,points,source,canonical_playerId,canonical_name,method
51938,Marc Albrighton,1800,99,data/2016-17/players/Marc_Albrighton/history.csv,51938,Marc Albrighton,SHARED_ELEMENT_CODE
53371,David Meyler,259,5,data/2016-17/players/David_Meyler/history.csv,53371,David Meyler,SHARED_ELEMENT_CODE
2404,Michael Carrick,1972,61,data/2016-17/players/Michael_Carrick/history.csv,2404,Michael Carrick,SHARED_ELEMENT_CODE
58786,Martin Kelly,860,42,data/2016-17/players/Martin_Kelly/history.csv,58786,Martin Kelly,SHARED_ELEMENT_CODE
28495,John Obi Mikel,2204,67,data/2016-17/players/John Obi_Mikel/history.csv,28495,John Obi Mikel,SHARED_ELEMENT_CODE
51507,Laurent Koscielny,2617,85,data/2016-17/players/Laurent_Koscielny/history.csv,51507,Laurent Koscielny,SHARED_ELEMENT_CODE
48717,Winston Reid,407,5,data/2016-17/players/Winston_Reid/history.csv,48717,Winston Reid,SHARED_ELEMENT_CODE
18073,Mark Noble,2140,78,data/2016-17/players/Mark_Noble/history.csv,18073,Mark Noble,SHARED_ELEMENT_CODE
19419,Gary Cahill,3213,105,data/2016-17/players/Gary_Cahill/history.csv,19419,Gary Cahill,SHARED_ELEMENT_CODE
80179,Adam Forshaw,9,1,data/2016-17/players/Adam_Forshaw/history.csv,80179,Adam Forshaw,SHARED_ELEMENT_CODE
19197,Jason Puncheon,647,32,data/2016-17/players/Jason_Puncheon/history.csv,19197,Jason Puncheon,SHARED_ELEMENT_CODE
3736,John O'Shea,1541,71,data/2016-17/players/John_O'Shea/history.csv,3736,John O'Shea,SHARED_ELEMENT_CODE
54771,Fabio Pereira da Silva,559,26,data/2016-17/players/Fabio Pereira_da Silva/history.csv,54771,Fábio,SHARED_ELEMENT_CODE
20664,David Silva,2551,144,data/2016-17/players/David_Silva/history.csv,20664,David Silva,SHARED_ELEMENT_CODE
49413,James Tomkins,1579,41,data/2016-17/players/James_Tomkins/history.csv,49413,James Tomkins,SHARED_ELEMENT_CODE
15633,Alex Baptiste,1731,41,data/2016-17/players/Alex_Baptiste/history.csv,15633,Alex Baptiste,SHARED_ELEMENT_CODE
27707,Darron Gibson,657,21,data/2016-17/players/Darron_Gibson/history.csv,27707,Darron Gibson,SHARED_ELEMENT_CODE
61858,Mame Biram Diouf,1615,59,data/2016-17/players/Mame Biram_Diouf/history.csv,61858,Mame Biram Diouf,SHARED_ELEMENT_CODE
50175,Danny Welbeck,1756,79,data/2016-17/players/Danny_Welbeck/history.csv,50175,Danny Welbeck,SHARED_ELEMENT_CODE
1632,Gareth Barry,2702,90,data/2016-17/players/Gareth_Barry/history.csv,1632,Gareth Barry,SHARED_ELEMENT_CODE
19188,Scott Dann,1800,67,data/2016-17/players/Scott_Dann/history.csv,19188,Scott Dann,SHARED_ELEMENT_CODE
7645,Phil Jagielka,2796,104,data/2016-17/players/Phil_Jagielka/history.csv,7645,Phil Jagielka,SHARED_ELEMENT_CODE
76359,Phil Jones,2175,70,data/2016-17/players/Phil_Jones/history.csv,76359,Phil Jones,SHARED_ELEMENT_CODE
37748,Bacary Sagna,2969,111,data/2016-17/players/Bacary_Sagna/history.csv,37748,Bacary Sagna,SHARED_ELEMENT_CODE
17878,Cesc Fàbregas,1880,128,data/2016-17/players/Cesc_Fàbregas/history.csv,17878,Cesc Fàbregas,SHARED_ELEMENT_CODE
39104,Mousa Dembélé,1916,81,data/2016-17/players/Mousa_Dembélé/history.csv,39104,Mousa Dembélé,SHARED_ELEMENT_CODE
28654,Martin Olsson,2373,80,data/2016-17/players/Martin_Olsson/history.csv,28654,Martin Olsson,SHARED_ELEMENT_CODE
40349,Asmir Begovic,2520,108,data/2016-17/players/Asmir_Begovic/history.csv,40349,Asmir Begovic,SHARED_ELEMENT_CODE
14664,Gnegneri Yaya Touré,2966,146,data/2016-17/players/Gnegneri Yaya_Touré/history.csv,14664,Yaya Touré,SHARED_ELEMENT_CODE
61538,Callum McManaman,14,3,data/2016-17/players/Callum_McManaman/history.csv,61538,Callum McManaman,SHARED_ELEMENT_CODE
41338,Craig Cathcart,2387,59,data/2016-17/players/Craig_Cathcart/history.csv,41338,Craig Cathcart,SHARED_ELEMENT_CODE
20658,Pablo Zabaleta,1947,102,data/2016-17/players/Pablo_Zabaleta/history.csv,20658,Pablo Zabaleta,SHARED_ELEMENT_CODE
15276,Joey Barton,2878,131,data/2016-17/players/Joey_Barton/history.csv,15276,Joey Barton,SHARED_ELEMENT_CODE
41270,David Luiz Moreira Marinho,953,56,data/2016-17/players/David_Luiz Moreira Marinho/history.csv,41270,David Luiz,SHARED_ELEMENT_CODE
50229,Matt Phillips,1050,51,data/2016-17/players/Matt_Phillips/history.csv,50229,Matt Phillips,SHARED_ELEMENT_CODE
20481,Stephen Ireland,555,17,data/2016-17/players/Stephen_Ireland/history.csv,20481,Stephen Ireland,SHARED_ELEMENT_CODE
3773,Peter Crouch,1945,92,data/2016-17/players/Peter_Crouch/history.csv,3773,Peter Crouch,SHARED_ELEMENT_CODE
17336,Gaël Clichy,2970,109,data/2016-17/players/Gaël_Clichy/history.csv,17336,Gaël Clichy,SHARED_ELEMENT_CODE
44302,Adlène Guédioura,368,21,data/2016-17/players/Adlène_Guédioura/history.csv,44302,Adlène Guédioura,SHARED_ELEMENT_CODE
12150,Glenn Whelan,1357,50,data/2016-17/players/Glenn_Whelan/history.csv,12150,Glenn Whelan,SHARED_ELEMENT_CODE
41135,Branislav Ivanovic,2827,144,data/2016-17/players/Branislav_Ivanovic/history.csv,41135,Branislav Ivanovic,SHARED_ELEMENT_CODE
20695,Antonio Valencia,742,42,data/2016-17/players/Antonio_Valencia/history.csv,20695,Antonio Valencia,SHARED_ELEMENT_CODE
7551,Joleon Lescott,1883,103,data/2016-17/players/Joleon_Lescott/history.csv,7551,Joleon Lescott,SHARED_ELEMENT_CODE
56872,Junior Stanislas,348,16,data/2016-17/players/Junior_Stanislas/history.csv,56872,Junior Stanislas,SHARED_ELEMENT_CODE
18008,James Morrison,2268,89,data/2016-17/players/James_Morrison/history.csv,18008,James Morrison,SHARED_ELEMENT_CODE
55909,Chris Smalling,1086,51,data/2016-17/players/Chris_Smalling/history.csv,55909,Chris Smalling,SHARED_ELEMENT_CODE
