player,team,rows,minutes_sum,assists_sum,points_sum,weeks,dates
Kyle Bartley,,36,90,0,0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Apr 15:00 | 06 Oct 15:00 | 07 May 19:45 | 08 Dec 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 16:00 | 15 Sep 15:00 | 16 Dec 13:30 | 16 Mar 15:00 | 17 Feb 15:00 | 17 Nov 15:00 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Sep 12:45 | 23 Dec 13:30 | 25 Aug 12:45 | 25 Nov 13:30 | 26 Dec 15:00 | 27 Oct 17:30 | 28 Apr 15:00 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 15:00
Kyle Naughton,,38,1059,1,48,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 03 Feb 13:30 | 03 Mar 16:00 | 03 Nov 15:00 | 07 Apr 14:05 | 07 Oct 15:00 | 08 May 19:45 | 09 April 15:00 | 09 Dec 15:00 | 09 Feb 12:45 | 10 Mar 16:00 | 11 Nov 13:30 | 12 Jan 12:45 | 12 May 13:30 | 16 Dec 13:30 | 16 Sep 16:00 | 17 Mar 15:00 | 17 Nov 12:45 | 18 Aug 17:30 | 19 May 16:00 | 20 Jan 16:00 | 20 Oct 12:45 | 21 Apr 13:30 | 22 Dec 15:00 | 23 Sep 16:00 | 25 Aug 15:00 | 25 Feb 20:00 | 25 Nov 16:00 | 26 Dec 17:30 | 27 Apr 15:00 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 12:45 | 29 Sep 17:30 | 30 Jan 19:45 | 30 Mar 15:00
Kyle Walker,,37,3067,5,103,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 03 Feb 13:30 | 03 Mar 16:00 | 03 Nov 15:00 | 07 Apr 14:05 | 07 Oct 15:00 | 08 May 19:45 | 09 Dec 15:00 | 09 Feb 12:45 | 10 Mar 16:00 | 11 Nov 13:30 | 12 Jan 12:45 | 12 May 13:30 | 16 Dec 13:30 | 16 Sep 16:00 | 17 Mar 15:00 | 17 Nov 12:45 | 18 Aug 17:30 | 19 May 16:00 | 20 Jan 16:00 | 20 Oct 12:45 | 21 Apr 13:30 | 22 Dec 15:00 | 23 Sep 16:00 | 25 Aug 15:00 | 25 Feb 20:00 | 25 Nov 16:00 | 26 Dec 17:30 | 27 Apr 15:00 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 12:45 | 29 Sep 17:30 | 30 Jan 19:45 | 30 Mar 15:00
Landon Donovan,,1,0,0,0,27,03 March 15:00
Larnell Cole,,39,0,0,0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 17:30 | 01 Jan 15:00 | 02 Feb 17:30 | 02 Mar 15:00 | 02 Sep 16:00 | 03 Nov 12:45 | 05 May 16:00 | 07 Oct 16:00 | 08 Apr 20:00 | 09 Dec 13:30 | 10 Feb 16:00 | 10 Nov 17:30 | 12 May 16:00 | 13 Jan 13:30 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 17:30 | 17 Apr 19:45 | 17 Nov 17:30 | 18 March 13:30 | 19 May 16:00 | 20 Aug 20:00 | 20 Jan 16:00 | 20 Oct 15:00 | 22 Apr 20:00 | 23 Dec 13:30 | 23 Feb 15:00 | 23 Sep 13:30 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 28 Apr 16:00 | 28 Nov 20:00 | 28 Oct 16:00 | 29 Dec 15:00 | 29 Sep 17:30 | 30 Jan 20:00 | 30 Mar 12:45 | 31 Dec. 12:45
Laurent Koscielny,,12,367,0,19,1 2 3 4 5 6 7 8 9 10 20 30,02 Sep 13:30 | 03 Nov 12:45 | 06 Oct 17:30 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 20 Oct 17:30 | 23 Sep 16:00 | 26 Aug 13:30 | 27 Oct 15:00 | 29 Dec 17:30 | 29 Sep 12:45
Ledley King,,38,0,0,0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 03 Feb 13:30 | 03 Mar 16:00 | 03 Nov 15:00 | 07 Apr 14:05 | 07 Oct 15:00 | 08 May 19:45 | 09 Dec 15:00 | 09 Feb 12:45 | 10 Mar 16:00 | 11 Nov 13:30 | 12 Jan 12:45 | 12 May 13:30 | 16 Dec 13:30 | 16 Sep 16:00 | 17 Mar 15:00 | 17 Nov 12:45 | 18 Aug 17:30 | 19 May 16:00 | 20 Jan 16:00 | 20 Oct 12:45 | 21 Apr 13:30 | 22 Aug. 20:00 | 22 Dec 15:00 | 23 Sep 16:00 | 25 Aug 15:00 | 25 Feb 20:00 | 25 Nov 16:00 | 26 Dec 17:30 | 27 Apr 15:00 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 12:45 | 29 Sep 17:30 | 30 Jan 19:45 | 30 Mar 15:00
Lee Camp,,15,225,0,6,24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,02 Feb 12:45 | 02 Mar 15:00 | 04 May 15:00 | 06 Apr 15:00 | 09 Feb 15:00 | 09 Mar 15:00 | 12 May 15:00 | 13 Apr 15:00 | 17 Mar 13:30 | 19 May 16:00 | 20 Apr 15:00 | 23 Feb 15:00 | 27 Apr 15:00 | 30 Jan 19:45 | 30 Mar 15:00
Lee Cattermole,,38,751,0,17,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Sep 15:00 | 02 Dec 16:00 | 02 Feb 15:00 | 02 Jan 19:45 | 02 Mar 15:00 | 03 Nov 15:00 | 06 May 20:00 | 06 Oct 12:45 | 07 Apr 15:00 | 09 Feb 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 11 Dec 19:45 | 12 Jan 15:00 | 12 May 15:00 | 14 Apr 12:00 | 15 Dec 15:00 | 15 Sep 17:30 | 17 Mar 13:30 | 18 Aug 15:00 | 18 Nov 16:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 21 Dec. 20:00 | 21 Oct 13:30 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 15:00 | 24 Nov 12:45 | 26 Dec 15:00 | 27 Nov 19:45 | 27 Oct 15:00 | 29 Apr 20:00 | 29 Dec 12:45 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 12:45
Lee Lucas,,36,0,0,0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Apr 15:00 | 06 Oct 15:00 | 07 May 19:45 | 08 Dec 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 16:00 | 15 Sep 15:00 | 16 Dec 13:30 | 16 Mar 15:00 | 17 Feb 15:00 | 17 Nov 15:00 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Sep 12:45 | 23 Dec 13:30 | 25 Aug 12:45 | 25 Nov 13:30 | 26 Dec 15:00 | 27 Oct 17:30 | 28 Apr 15:00 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 15:00
