archive_id,first_name,second_name,web_name,current_team,current_type,element_type_id,history_status,season,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,ea_ppi,end_cost_tenths,end_price_m,total_points,source_path
36,Richard,Dunne,Dunne,Aston Villa,Defender,2,POSITIVE_MINUTES,2010/11,2717,0,1,6,45,1,0,0,4,0,0,6,0,65,6.5,73,20_5_2013/36
37,Ciaran,Clark,Clark,Aston Villa,Defender,2,POSITIVE_MINUTES,2010/11,1569,3,0,4,33,0,0,0,9,0,0,3,0,41,4.1,51,20_5_2013/37
38,James,Collins,Collins,West Ham,Defender,2,POSITIVE_MINUTES,2010/11,2854,3,0,7,45,0,0,0,5,0,0,14,0,58,5.8,104,20_5_2013/38
39,Stephen,Warnock,Warnock,Aston Villa,Defender,2,POSITIVE_MINUTES,2010/11,1710,0,2,4,34,0,0,0,8,0,0,0,0,54,5.4,38,20_5_2013/39
40,Alan,Hutton,Hutton,Aston Villa,Defender,2,POSITIVE_MINUTES,2010/11,1705,2,2,2,25,0,0,0,2,0,0,2,0,43,4.3,58,20_5_2013/40
41,Derrick,Williams,Williams,Aston Villa,Defender,2,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/41
42,Eric,Lichaj,Lichaj,Aston Villa,Defender,2,POSITIVE_MINUTES,2010/11,274,0,0,0,7,0,0,0,1,0,0,0,0,40,4.0,4,20_5_2013/42
43,Enda,Stevens,Stevens,Aston Villa,Defender,2,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/43
44,Matthew,Lowton,Lowton,Aston Villa,Defender,2,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/44
45,Barry,Bannan,Bannan,Aston Villa,Midfielder,3,POSITIVE_MINUTES,2010/11,640,0,1,1,14,0,0,0,1,0,0,0,0,44,4.4,21,20_5_2013/45
46,Chris,Herd,Herd,Aston Villa,Midfielder,3,POSITIVE_MINUTES,2010/11,110,0,0,0,2,0,0,0,0,0,0,0,0,45,4.5,7,20_5_2013/46
47,Jean,Makoun,Makoun,Aston Villa,Midfielder,3,POSITIVE_MINUTES,2010/11,551,0,0,1,9,0,0,0,3,1,0,0,0,55,5.5,8,20_5_2013/47
48,Fabian,Delph,Delph,Aston Villa,Midfielder,3,POSITIVE_MINUTES,2010/11,414,0,0,0,7,0,0,0,1,0,0,0,0,50,5.0,9,20_5_2013/48
